RODADA,MATAR WUMPUS,PEGAR OURO,NOVA POSIÇÃO,MOVIMENTOS TOTAIS,MORTES POÇO,MORTES WUMPUS,ATIRAR FLEXA,PONTUAÇÃO FINAL
1,0,1000,285,810,10000,0,0,-9525
2,0,1000,677,2049,10000,0,0,-10372
3,1000,1000,207,779,2000,0,10,-562
4,1000,1000,1038,3305,16000,0,10,-16257
5,1000,1000,282,979,1000,0,10,313
6,0,1000,48,91,2000,0,0,-1043
7,0,2000,48,99,2000,0,0,-51
8,0,1000,28,81,1000,0,0,-53
9,0,2000,179,400,3000,0,0,-1221
10,1000,4000,322,836,7000,0,-10,-2504
11,0,1000,176,435,5000,0,0,-4259
12,1000,1000,1217,7000,0,-10,-5857
13,0,1000,10,247,0,0,0,983
14,0,1000,196,390,6000,0,0,-5194
15,0,1000,177,709,2000,0,0,-1532
16,1000,1000,442,1158,5000,0,-10,-3706
17,1000,1000,543,1405,11000,0,-10,-9852
18,1000,1000,602,1309,20000,0,-10,-18697
19,1000,1000,389,1098,3000,0,-10,-1699
20,1000,1000,6,7,0,0,-10,2009
