RODADA,MATAR WUMPUS,PEGAR OURO,NOVA POSIÇÃO,MOVIMENTOS TOTAIS,MORTES POÇO,MORTES WUMPUS,ATIRAR FLEXA,PONTUAÇÃO FINAL
1,0,1000,2,1,0,0,0,1001
2,1000,1000,354,910,11000,0,10,-9546
3,1000,1000,293,1109,3000,0,10,-1806
4,1000,1000,1929,5055,64000,1000,10,-66116
5,1000,1000,1071,4036,14000,3000,10,-17955
6,0,1000,1790,3259,2200000,0,0,-220469
7,0,1000,287,812,9000,0,0,-8532
8,0,1000,120,433,0,0,0,687
9,1000,1000,384,1413,6000,0,10,-5019
10,1000,1000,110,227,12000,0,10,-10107
114,0,1000,35,87,0,0,0,948
12,1000,1000,563,1172,84000,0,10,-82599
131,1000,1000,857,2582,26000,0,10,-25715
14,1000,1000,167,595,1000,0,10,582
157,1000,1000,3351,9658,79000,0,10,-83297
166,0,1000,493,1292,19000,0,0,-18799
17,1000,1000,873,2250,28000,0,10,-27367
18,1000,1000,326,1252,3000,0,10,-1916
19,1000,1000,155,425,4000,0,10,-2260
20,1000,1000,505,1286,16000,0,10,-14771
